score,review,sentiment
6, 관람객 일본 사회와 인물에 대한 꼼꼼한 묘사는 하나하나 볼만한 구경거리지만 전체적인 완성도는 좀 부족한 영화이다 일본에서 큰 인기를 끌었던 건 동일본 재해에 대한 트라우마를 다루고 있기 때문일 듯 ,1
7, 관람객 일본 괴수물의 전통을 잇는 작품이지만 그렇기 때문에 한국에서 대중적인 인기를 끌기는 어려울듯 싶네요 의도적인 것으로 보이지만 고질라의 CG도 보통 사람들이 보기엔 엉성해 보일테고 대사 처리도 그렇습니다 저는 평작 ,1
9, 영화는 호불호가 갈릴 수 있는데 댓글에 에바 드립은 좀 그만 보고 싶다 만들고 있다잖아 _ ,1
5, 미국욕은 1 1처럼 꼭 해야 직성 풀리는 일본 풍자 피해자 코스프레는 언제 끝마치고 자기반성 들어가려나 ,0
5, 정치풍자한 건 알겠는데 왜 이게 훌륭한 정치극이라는 거지 ,0
9, 관람객 괴수영화이지만 재난영화에 더 가까움 일본 정치계의 관료주의적인 면의 장단점이 고스란히 드러난다 실제로 영화같이 할것같은게 소오름 아 고질라는 제대로 괴수스러웠습니다 그건 맘에 드네요 아마 역대 최강의 고질 ,1
9, 제작비 빵빵한 헐리웃영화들에 비해 cg가 딸리는 건 어쩔 수 없다 2014 고질라 밖에 안봐서 구작들은 모르겠지만 괴수영화보다는 현실성있는 재난영화 고질라보다는 일본정부의 대응에 초점을두고 보는 영화 그리고 에반 ,1
7, 관람객 괴수영화를 빙자한 일본사회의 비판과 해결방식을 나타낸 영화 괴수가 뚜들겨 부수는 장면은 생각보다 적고 그래픽은 저질이다 인물간 갈등과 혐력이 대부분이니 순수히 굇수영화를 보고 싶다면 콩 안노감독 연출을 좋아한다 ,1
5, 딱 안노 히데야키가 만든 일본인 덕후용 영화 안도로이드 재판 ,0
10, 고질라 중간에 노래나오면서 빔쏘는 장면에서 눈물나옴 뭔가 애달프고 멋짐 ,1
8, 관람객 이렇게까지 저평가받을 영화는 아님 ,1
4, 초등학생의 눈으로 재미있게 볼 수 있을 듯 ,0
6, 일본 자위대 홍보영상 같았음 ,1
5, 괴수 영화가 아니라 정치영화 무능하고 형식에만 얽매인 관료주의의 일본 ,0
5, 고질라가 넘 인형같았어요 마치 80년대 태권브이에 악당으로 나오는 그런 로봇같은 디테일이 좀 떨어지네요 좀 아쉬워요 ,0
1, 관람객은 모두 알바입니다 관람객 평점 8점 실화냐 ,0
8, 관람객 고지라사태의 긴박함을 잘 전달했지만 cg와 액션의 비중이 아쉽다 ,1
1, 하나를 만들어도 어떻게 이렇게 조잡하고 유치하게 만들까 비웃음만 ,0
2, 일본의 SF 영화들은 테러 수준이다 ,0
8, 재난영화로써의 소스는 좋다 그러나 괴수영화로써 스릴감은 뭔가 아쉽네 주인공이 현장밀착형이 아니라 그런가 ,1
9, 관료주의의 병폐와 그 안의 정치놀음 한판을 보여주는 이상한 괴수영화가 있다 ,1
7, 연출은좋음 긴장감씨지는 떨어짐소개가 좋긴함 근데 분위기가 에반게리온사도 없애는 분위기 ,1
1, 단순히 내용은 좋은데 눈동자 움직이지도 않고 뭔가 실감도 안남 제일문제는 CG인데 신고질라 보고 눈 썩느니 대호 보겠다 ,0
1, 와 이번 고질라 너무했다 거의 그래픽이 장난감이 움직이는것 같네 이번 영화망했어 ,0
1, 씨발 다카포나 만들라고 안노새끼야 ,0
2, 동네 문구점보다 못한 CG ,0
1, 신 고질라 라고 나온것 자체가 문제 입니다 그러기 때문에 1점 낚시왕 고질라 ,0
1, 정말 지금까지 본 영화중에 최악이다 알바탈 쒸우고 한거 티나고 무슨 지구방위대 후뢰시맨 보는 느낌이든다 너무하다 ,0
9, 관람객 훌륭한 정치 풍자극 기대 이상이었다 ,1
1, 아베가 밀어줬나 보고있으면 거슬림 일본영화는 본인들이 저지른일은 입 싹 닫고 핵폭탄 피해본것만 알리려고한다는 점 과거를 직시하고 저런말하면 동정이라도 하겠는데 허지웅이가 재밌다고 하던데 쉬퐐라퐐이야 ,0
1, 개 같은 영화 1점도 아깝다 퉤영화내내 인간들 회의만하는 영화 ,0
1, 평점이 왜 좋은거지 정치풍자가 좋았다고 이영화 보는 사람들은 이렇게 신파적인 영화를 보고도 정치적 내용도 순전히 일본 자기방어용이고 자기들은 완전 피해자라는 식으로 ,0
10, 관람객 사도가 쳐들어왔는데 에바가 없는 상황 오타쿠대장이 만든 영화답다 초반 블랙코메디 요소만 재밌음 ,1
9, 역대 고지라가 액션과 싸움을 중요시했다면 이번 고질라는 공포와 흉악함을 드러낸다는 절로 소름이 끼치게 되는 영화 브금도 한몫 괴수 영화가 아니라 공포영화 보는 줄 ,1
1, 22년살면서 본영화중에 최악 도저히 못보겠어서 그냥 끔 ,0
1, 역대 모든 고지라시리즈를 다본 팬이지만 이건 고지라냐 특촬이냐를 넘어 그냥 영화라고 봐줄수도 없는 수준이다 캐릭터들은 만화속에서 튀어나온것같고 대사와 연기 상황등이 너무 어설프고 작위적이다 ,0
6, 레전더리 픽쳐스 때문에 빡쳐서 엄청난 캐스팅 물량공세와 그 에반게리온 감독까지 부른건 이해는 가지만 그냥 일본 자위대 영화잖아 특촬물 고지라매니악 에반게리온 매니아들만 공감할만하지 일반인들은 어 ,1
3, 장난감들이 고질라에게 약 먹인다 ,0
3, 맘마 먹고 잠자는 도시 속의 고지라 ,0
2, OOO 무슨 영구와 쮸쭈공룡 보는줄 근데 진지빠니까 너무 얼탱이없더라 정의로운척 오짐 영화보는내내 후뢰시맨 울트라맨 영구와 공룡쭈쭈 생각남 ,0
3, 입에서 7옥타브로 레이저나감 ,0
7, 일본의 고질라 시리즈의 전통대로 잘 만들었다 물론 전통대로 잘 만든었다는거지 시리즈를 모르는 일반관객들까지 만족시킬 정도의 완성도는 아니다 ,1
6, 초기 버전의 고질라라고 하는데 많이 낯설고 연출도 일본 느낌이 많이 난다 일본 국내용 인듯 ,1
1, 일본애들 중2병 연기 이거 누가 좀 고쳐줘야 하는 거 아닌가 진짜 이 정도일 줄은 정신병이야 이거 ,0
2, 전범국가 주제에 영화 내에서 자신들의 2차대전을 정당화하려는 의도가 많이 보이네 대사중에 미국의 히로시마 나가사키 핵공격을 비꼬며 비판하는듯한 모습도 보이고 후반부 기차 테러는 마치 가미가제 공격을 연상시키는 ,0
1, 갠적으로 솔직히 평가하네요 내용이 좋다고 해도 영화를보는 이유는 시각적인 면이 큰데 그걸 무시하는 고질라 인형은 2017년도 영화라는게 의문이 들정도 시각적인 면을 무시할려면 책을 읽어야죠 영화를 볼게 아니라 고 ,0
1, 고질라가 레이저를 뿜을 때 티라노의발톱과 같은 레벨의 수준이라는 걸 알게 되었음 내용은 뭐 내수용으로는 괸찮은데 그래픽 수준이 ,0
1, 일점두아깝다 진심 ,0
2, 유치한걸 떠나 쓸데없는 대사들이 왜 이리도 많나 일본영화 원래 이런가 ,0
5, 평보고 안볼라다가 분노보고 일본 아카데미 뭐가받았나 검색하다가 이게 작품상 감독상인가 다수상했길레 한번봤는데 가관이네 애니는 그렇게잘만들면서 고질라는무슨 봉제 인형수준으로 만들어놨냐 주제는 괜찮았으나 시종일관 지루 ,0
8, 관람객 고질라 팬이라면 기존 고질라의 위상이 그대로 드러난다는 사실 자체에서 흥미를 느낄수있을것같다 반면 괴수가 나오는 흔한 액션영화를 기대했다면 다소 지겹게 느낄수있을듯하다 특히 후반부의 일본 미화 뉘앙스는 견디기 힘 ,1
1, 이 영화에 10점 준사람은 백퍼 이시하라사토미때문이다 영화내용이야 볼만하다고 치자 제목이 고질라인 괴수영화에 고질라가 나오는 순간 웃음만 난다 ,0
1, 인간적으로 너무 재미없다 특촬물 그래 나 특촬물 안본다 그랬더니 이건 머 완전 재미없는 수준이하보다 더하다 특촬물 본 사람만 봐야되는 영화인가보다 ,0
8, 제발 문화수준 드러내지 말고 정당하게좀 평가하자 ,1
10, 현실사회의 문제점을 잘 지적했다 액션씬을 기대안하고 봤던지라 갠적으로 매우 좋았음 ,1
8, 일본의 비효율적인 행정시스템을 비판하는 영화 또한 특촬물을 활용하여 고질라를 표현한 점도 나쁘지 않았지만 교묘하게 제 2차대전에 대한 피해의식을 드러내고 있다 식민지였던 한국인이 아니라도 보기 조금 불편한 점이 ,1
8, 블랙코미디 한국이나 일본이나 정치인하고 공무원은 똑같은거 같음 실랄한 정치풍자와 관료주의에 찌든 공무원들 할일없는 시민단체 데모에 아무때나 일상으로 돌아가는 시민들까지 내선일체인줄 일본영화인데 한국정치풍자 ,1
5, 졸면서 3일만에 겨우 다 봤음 역사 모르는 사람이 들으면 멀쩡한 나라에 미국이 이유없이 핵공격한것으로 알겠네 ,0
7, 원전과 쓰나미를 종합적으로 은유한 괴수를 통해 심하게 관료화된 상황을 풍자한 정치 군상 드라마로 읽힌다 ,1
1, 제목이 왜 고질라냐 일본인 정치질영화지 용감한척 의로운척 쩌는 영화저기에 출연한 배우들은 돈만 많이받으면 그만이겠지만 개봉한거보고 자괴감 쩔겠네 ,0
3, 고지라에 왜 인형 눈깔을 달아 놨나 했는데 다 설정이었다는구나 모르는 사람은 집중이 안되서 바로 채널 돌려버림 ,0
5, 고질라영화는 98년에 장 르노 나오는 고질라가 제일 나음 ,0
3, 포스터 부터 사이즈 나온다 일본영화는 스펙타클하게 디테일하게 폭넓게 만들수 없냐 용가리보다 재미없다 ,0
7, 생각보다는 괜찮았음 바쁘게 넘어가는 와중에 쓸데없이 설명하는 자막이 많았고 이펙트 자체는 cg로 잘 얼버무렸는데 고질라 자체가 너무 피규어 걸어다니는 것 같이 생동감이 없음 무엇보다 자국뽕이 잔뜩 들어가서 개소리 ,1
6, 이건 괴수 영화라기보단 정치풍자영화인거같네요 그쪽으로 보기엔 한번은 볼만한 영화같아요 물론 고질라 cg는 20년전 영화를 보는거같앗지만 너무 엉성하고 극혐 헐리우드에 익숙해져서 그런지 암튼 cg 빼고 ,1
2, SF와 액션적인 요소를 다 배제하고 객관적인 시점으로 영화를 보더라도 그냥 진부하게 봐왔던 일본 특유의 흔한 캐릭터와 풍자 공감하고 느끼기 정말 힘들었다 ,0
6, 고질라 가 선보이는 파괴의 액션보다는 그 액션의 후유증을 더 많이 보여준다 마구잡이로 몰아치는 공격 대신 많은 토론과 계획으로 고질라 에 맞서는 모습은 새롭기도 하고 지루하기도 하다 ,1
5, 안노 감독의 심미적인 카메라 구도가 인상적이었다 가끔 배우들의 진지빠는 대사의 오글거림이 느끼했다 ,0
1, 지금 케이블에서 틀어줘서 보는중인데 이게 2017년에 개봉했다고 1997년작품 아니고 와 이게 뭔 코메디 일본애들 영화 잘만드네 아카데미 출품해라 ,0
5, 리메이크판 고질라 생각하고 기대햇는데 그냥 일본의 피해자코스프레와 일본은 위대하다의 사상과 뭐만하면 핵을 날리려는 미국의 무식함에 1점 줄려다가 카요코인가 미국대사관역을 맡은 여주가 넘 예뻐서 5점 준다 ,0
5, 전범국가가 피해자 코스프레하는거 오지구요지리구요레딛고요 ,0
1, 2017년에 이런 영화가 나올 수 있다니신선한 충격이었다 ,0
1, 피해자 코스프레로 무장한 내수용 정치 풍자 ,0
5, 그냥 정치영화였습니다 ,0
3, 이런쪽 팬 아니면 안보는거 추천 정치풍자쪽으로 보는게 더 재밌다 고질라 잘 모르는 나같은 일반인은 풍자가 어쨌든 괴수영화의 본질인 매니악함을 극복하고 볼만큼의 메리트는 없다 ,0
6, 괴수를 보러 왔다면3점 괴수에 의해 밝혀지는 무능한 정부와 관료주의 그리고 인간의 분투를 보러 왔다면 8점 ,1
1, 핵쓰레기 시간아까움 ,0
5, 너무 나대는 비호감 남녀주인공부터 짜증이 밀려오고 영화 퀄리티 스토리 연기 전부 엉망이다 제작비는 드럽게 많이 들었을 것 같은데 결과물이 심각하다 초반에 나온 귀여운 고질라만이 유일한 호감 ,0
4, 사회비판은 둘째 치고 너무 재미가 없다 개성 넘치는 천재들이 나라 구한다는 진부한 내용에 배우들 대사 몸짓 엄청 오글거리고 고질라가 도시를 파괴하는 장면에서도 별 박진감이 느껴지지 않음 ,0
3, 내가 뭘 봤는지 모르겠는 영화 ,0
4, 90 가 회의하는 내용 희생이과 책임이 너무 맹목적이서위화감이 느껴짐 ,0
1, 거대한 조잡한 장난감괴물 고질라를 상대로 진지하게 연기하는 인간들에 웃음만 ,0
5, 관람객 개인적으로는 별로였습니다 ,0
1, 최악 중 최악 이영화를볼바엔 디워 를 한번더봄 ,0
1, 이게 괴수 영화냐 회의 영화냐 회의만 나게 해 대네 ,0
1, 심형래 감독이 만든 영구와 공룡 쮸쮸가 생각나네요 고질라 눈을 보고 놀랬습니다 역시 일본 영화는 그냥 실사애니가 갑인듯 이런 실사영화는 아닌거 같네요 ,0
1, 한마디로 보지 마셈 ,0
6, 진짜 콩보고 이거 보니까 너무 구린느낌이 특히 에반게리온 OST 비슷한거 나오기는한데 뭔가이렇다할 결과도 없고 ,1
7, 충격적일 정도로 허접한 cg와 그와는 반대되는 등장인물들의 리얼한 상황대처가 충돌을 일으킨다 마치 꿈과 현실이 부딪히는 느낌이랄까 ,1
1, 고질라 엉성한건 예전 특찰물방식이라 치고 스토리는 재해가 닥쳤을때 복잡한 명령 체계을 까는 스토리라 쳐도 마지막에 고질라 처리하는 방식은 OO이지 그건 쉴드가 안돼 ,0
8, 불따로 봐놓고 CG만 논하는 평들을 보니 우스울 뿐 근래 보기 힘들었던 훌륭한 정치극입니다 ,1
7, 연출은 좋다 지금 나온 고질라 영화중에 이번 고질라를 이길 고질라는 없을듯 이 피지컬대로라면 킹콩 썰림 ,1
9, 관람객 왜 평점이 이따구냐 괴수에 대응하는 컨트롤타워의 모습을 정말 제대로 보여주는데 ,1
10, 관람객 안노 총감독 작품이라 기대가 컸는데 기대이상이었습니다 안노 특유의 데몰리션씬 안노레이저 등등 안노 전매특허인 이펙트 장면에 스트레스가 다 날아가더군요 안노 아니메퍈이라면 꼭 한번쯤 봐야하는 작품인데 역시나 국내 ,1
10, 개인적으로 진짜 괜찮았는데 사람마다 보는 관점이 다르긴 다른듯 관료주의 를통한 해결이 실제적으로 효율이 얼마나 떨어지는지를 잘보여주는 점이 진짜 웃긴 블랙코미디 그리고 지금까지 중의 2000년 고질라 만큼 ,1
10, 평점이 너무 낮아서 10점줌 오랜만에 진짜 영화다운 영화를 본듯 세기말적 느낌을 너무 현실적으로 담은 수작 ,1
7, 생각보다 재밋음 ,1
8, 매우 현실적인 고질라를 등장시켜 정치 풍자하는 영화 고질라가 실제로 등장한다면 딱 이런 모습일것 ,1
8, 일본판 괴물 한국인으로서는 열받는 부분이 있음 일본인으로서는 어떨지 제3자의 입장으로는 배우들을 높이 사며 고질라 묘사 또한 성공했다고 생각한다 메시지 전달은 굵고 명확하다 ,1
10, 원작에 비견될 희대의명작 후속작만 손꼽아기다린다 인간의 역량으론 대처할 엄두조차 못내는 고질라를 향한 경외심의 표현은 역대최고다 도대체 몇번을 본건지 ,1
8, 애초에 일본영화 보면서 헐리우드를 기대하는 게 잘못 고질라는 태생부터가 리틀보이 팻맨과 떨어뜨릴 수 없기는 하지만 더 큰 비극을 겪은 우리 입장에선 이해하려 해봐도 대사 하나하나가 마냥 곱게 보이지 않는 것이 현 ,1
10, 사토미는 너무 얘쁘다 정말 이뿌다 ,1
8, 지금까지 나온 일본 미국의 고질라 시리즈 중 가장 현실에 가깝다 일본 영화치고는 볼만해서 감독을 보니 에반게리온 감독이네 ,1
7, 딱 요정도 점수정도 되는영화 ,1
5, 저 괴물의 초능력 보다 무서운 건 정부의 무능함이지 핵공격 맞은 국가는 일본이라 늘 피해자처럼 보이려는 꼼수 괴물 가만히 있다가 죽는 착한 괴물이라는 상상에 B급 ,0
1, 일본특유의 오글거리는 연기는 어떻게 못하나 한결같네 특히 영어대사할때는 정말 ,0
10, 참 못난놈들 많다 이영화가 다 좋다고 말하는건 아닌데 이렇게 점수 낮은 영화는 아니다분명히 이 영화를 그냥 괴수 빼에에에엑 거리는 영화로만 보는거겠지 어휴 수준진짜 9점 주고싶은데 영화에대해 잘모르고 평점 낮게주 ,1
6, 피난은 주민의 삶을 송두리째 버리는일인데 말을 너무 쉽게 하는군 햐 이대사 너무 가증스럽다 ,1
5, 괴수에게만 초점을 맞춘 다른 괴수영화와는 다르게 정치적으로 해결에 초점을 둔 것은 신선했다 노래와 불쏘는 장면은 압권 ,0
8, 이렇게 박한 평가 받을 영화는 절대 아님 cg는 구리고 일본애들 연기는 우리가 적응하기 힘들긴하지만 이 영화가 주는 메세지와 디테일들은 놀라울정도임 걍 영화를 오락으로 보러가는 한국 특성상 평가가 이렇게되는듯 ,1
1, 대사 왜이리 빨라 일본영화답지 않게 화면을 봐야되는데 자막만 읽게만드네 ,0
1, 그냥 애니보는게 나을 것 같다 이걸보니 한국CG가 정말 좋다는걸 느낌 ,0
1, 와 내가 진짜 이런거 에 평점안하는데 진짜 쓰래기 영화내 ,0
2, 역대 괴수물중 최악 고질라 도시 돌아다니는 장면들은 그 옛날 파워레인저 울트라맨을 떠오르게했음 괴수물인데 긴장감도 떨어짐 차라리 최근 개봉한 콩이 몇천배 나을지경 일본 좋아하는 사람들이 좋다고 감싸는듯 ,0
1, 도대체 이딴걸 왜 만든거지 60년대 수준이네 맨날 고지라 고지라 빨아재끼더만 매번 미국이 만든 고질라가 훨씬 재밌네 뭔 향수를 불러일으킨다는건지 이거 보고 자란 사람들은 이미 다 늙어죽었음 ,0
2, 특촬물의 특성이니 뭐니하는 얘기를 하자는 게 아니다 일본 영화의 한계를 본 느낌이다 하나를 꼽자면 캐릭터 현실을 비꼰다고 하면서 일본 애니에서나 봐왔던 진부한 캐릭터들 나에게 있어서는 고질라의 존재보다 더욱 ,0
1, 최악이다 돈이 아깝다 영화보고 깜놀 지루해 ,0
7, 괴수영화 재난영화 절대 아니고 풍자 블랙코미디입니다 이것만 알고 가세요 ,1
10, 상당히 잘만들어진 영화인데 저평가된게 아쉽네 90년대 특촬물 느낌도 잘 살린거같고 마지막 엔딩이 인상적이었다 스포가 될 수도 있겠지만 꼬리부분의 모습으로 추측하건데 거대한 인간형상의 뭔가로 진화화려다 직전 단 ,1
8, 관람객 괴물과 같지만 방향성은 다른 영화 괴물 의 정부가 개돼지라면 신고지라 의 정부는 밥값은 한다 ,1
8, 관람객 괴수영화로서 충분히 매력적인 작품 ,1
10, 관람객 정말 진짜 최고 명작임 정말입니다 정말 정말 명작입니다 ,1
1, 로건보고나서 보니 1점도 아깝다 ,0
10, 알바시키들 꼭 이렇게 해야하나 ,1
1, 일본이 만든 영화가 다 그렇지뭐 ,0
10, 이 영화 강추다 나만 당할순 없다 ,1
10, 에반게리온 더 비기닝 신고지라 홍백가합전 ,1
10, 12년만에 부활한 일본 고질라 게다가 17년만에 정식 국내 개봉이라니 ,1
10, 너의 이름은 과 유사한 주제 전혀 다른 방향의 사회 비판 동전의 양면 ,1
1, 간츠 오 를 그렇게 잘만들어 놓고 이건 과거에서 찍은 영상 30년만에 발견된 느낌은 뭐죠 ,0
10, 블랙코미디같은 정치풍자극에 화끈한 괴수 액션 괴수영화포맷의 좋은 사래로 남을듯하다 ,1
1, 이 영화는 아무리 후하게 점수를 줘봐야 티라노의 발톱 수준이닷 ,0
1, 0점은 없나요 다행이다 일본영화라서 한국에서 이딴 영화 만들었다면 엄청 욕 퍼부었을텐데 무의미한 자음을 연속 사용했다고 키키키를 많이 못 쓰게 하네요 키키키크크크 완전 우스워요 한번 보세요 크크크 ,0
1, 과거 고질라는 일부러 그렇게 만든게 아니고 그당시 일본 기술로는 현재의 블럭버스터 급으로 만든거다 특촬물이라는 장르가 있는것도 아니고 메이저 sf영화 만들 능력이 안되니 그냥 어린이 영화 스타일로 만든거를 무슨 특촬 ,0
9, 수상작품은 다 이유가 있다 어느덧 이 영화에서 CG의 퀄리티는 전혀 중요하지 않는다 각본의 승리가 가져다준 정치영화 최고 ,1
9, 많고 많은 괴수 재난물 중에 가장 현실적이고 풍자적인 영화가 아니였나 싶음 영화 자체가 특촬물인데다 중후반부 전투씬을 보신 분들은 아시겠지만 바탕이 특촬이여서 그렇지CG는 양호한편 이런저런 전문용어들이 휙휙 ,1
10, 관람객 최고입니다 짱이에요 ,1
8, 꽤 볼만했다 일본답게 아니메스런 스토리와 연출이 있으니 헐리우드파에게는 뭔가 이상해 라고 말할지도 모르지만 일본의 특촬영화는 그런 판타지의 재미로 보는 것이다 헐리우드와는 다르다 역대 가장 ,1
1, 이게 왜 콩 스컬아일랜드와 같은 시기에 개봉한거냐 고질라 2014는 뭐가 되지 고질라는 일본에서 만들어졌다는 프라이드로 이런 수준의 영화로 헐리우드란 스케일에 숟가락을 꽂겠다 사실상 괴수판 어벤져스의 서막에 재 ,0
10, 관람객 초대 고지라를 현대적으로 잘 해석한 개인적으로는 역대 고지라 영화중 최고 ,1
10, 3월 8일 12시 7시 사이 덧글 쳐단놈들 봐라 아주 급식충들 답게 재밌냐 평점 말아먹는 노답들아 보고 지껄여 ,1
10, 관람객 안노 스타일의 재난묘사가 실사영화에서도 충분히 통한다는 것을 보여준다 ,1
9, 관람객 확실히 관객이 없긴하네요 저포함 5명 근데 평점보다는 괜찮은것 같아요 킬링타임용 여친은 재밌었다고 하네요 ,1
10, 평이 낮아서 10점주는데 솔직히 7광구 만들었던 나라에서 cg로 영화 까내리는건 양심도 없는거 같아서다 보고 평하자면 후반부 고질라 학살씬은 역대급이다 해외에서 평이 양호한 이유가 있음 ,1
8, 로튼 87퍼 이게 심형래꺼보단 낫다 심형래는 해외 국내 둘다 평이 안좋거든 이건 그래도 일본 해외에서 평은 양호하고 북미평가도 나쁘지 않거든 cg로 평점까내리는건 우리나라 cg도 ,1
10, CG는 일부로 옛날 특촬 방식으로 만든거임 나름의 결말과 스토리 라인을 가지고 갔음 요즘 사람들 괴수물이라고 하면 무슨 카메라 흔들리고 건물 무너져 내리는 거밖에 모름 일까들이 평점 테러하는거 꼬라지가 극혐이라 ,1
10, 관람객 보고 온 사람이다 괴수영화 중 최고의 영화다 꼭 봐라 일본 한국인이라면 꼭 봐야 할 괴수영화의 탈을 쓴 정치영화다 ,1
1, 회의만 주구장창 현 일본을 보는거 같다 ,0
4, 차라리 재미라도 있는 짱구 극장판 온천편을 보는 게 시간 안 아까웠을 듯 이건 괴수영화라기에도 좀 부족하고 정치풍자영화로 봐도 한국 정치풍자에 길들여져서 그런가 풍자라곤 1도 안 느껴지고 오히려 일본정부에서 ,0
7, CG는 시대에 안맞게 조잡했지만 나름 건물 파괴 공격장면 등은 그럴듯함 나름 사회 비판적인 면을 보여주려고 했지만 어설프다 ,1
4, 용가리하고 비교수준 ,0
2, 정치풍자 일본감성을 고려하더라도 못만든 영화 이거 볼시간에 봉사하러다님 ,0
5, 특촬물에 대한 안노 히데아키만의 찬사 ,0
10, 기대안하고 봤는데 의미심장한 영화 ,1
10, 오타쿠 감독이 만든 진짜 고질라 영화 ,1
9, 재밌다 일본 특유의 리얼리즘이 독보인 영화 ,1
7, 고질라의 그로테스크한 비쥬얼이 인상적이었고 보신에 급급한 정치인들의 모습도 잘 묘사된 것이 좋았습니다 ,1
2, 미국꺼 보고 이거보면 욕할수도 있음 외국 고질라는 멋짐이 높은데 이건 고질라가 너무 무섭게 나온듯 중간에 나온 이상한 괴물은 진짜 징그러웠음 나랑 일본영화 는 개 안맞는듯 차라리 미국꺼 보자 ,0
7, 괴수20 정치풍자80 밀덕 출신 감독덕에 무기나 장비류가 나름 리얼하게 묘사 그리고 에반게리온 감독 특유의 연출 배우 연기가 약간 오글거리긴 하지만 애니나 밀덕이면 보는 맛은 있음 ,1
6, 재밌지만 너무 일본정부들이 아갈이만 오지게털고 괴수영화의 가장 중요한 액션을 약하게했다 담편도 만든다면 액션도 ,1
6, 엄청나다까진 아닌데 그래도 킬링타임으론 적당했다고 보는데 여긴 혹평이 많아서 내가 특이한건가 싶었더니 그해 일본 영화 흥행 수위권에 일본아카데미상 작품상이라네 여기가 특이한건가 일본 감성 정치물이 섞여서 액션 ,1
7, 에바 실사판 보는느낌이었네요 ,1
6, 영화자체는 괜찮은데 일본이 피해자라는 전제가 항상깔려있음 ,1
10, 이시하라 사토미가 너무 예뻐서 본전은 뽑았다고 봄 ,1
6, 고질라 빼고는 일본영화가 열일했네 ,1
7, 주둥아리만 털지말고 행동으로 보여줬으면 ,1
6, 고질라가 귀엽게 생겼어 괴수 인형처럼 인간들 상황은 일본치고 리얼한 편이네 고질라도 뜬금없이 지구에 혼자 있어 외롭겠구만 일부러 부수는것도 아니고 뭐 길이 작으니 걷기만해도 부서지는걸 어쩌라고 ,1
5, 일본인들이 생각하는 리얼리티는 전혀 리얼하지 않다 영화든 만화든 등장인물들의 대사나 연출은 만약 실제로 고질라가 나타난다면 어떨까 라는걸 염두해서 나름 리얼리티를 살리려고 하는것 같은데 이건 뭐 드라마도 아니고 ,0
